Study_ID,scientificName,Common_name,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_IUCN,Article,Article_secondary_same_data,Study_type,Study_rodent,Study_location,Latitude,Longitude,Description,Site,Predator_units,Prey_error_type,Prey_error_source,Prey_units,Abundance_reproduction,Sample_type,Source,Original_study_design_effect_type,Prey_mean_Rats_Absent,Prey_mean_Rats_Present,Prey_error_Rats_Absent,Prey_error_Rats_Present,Number_of_samples_Rats_Absent,Number_of_samples_Rats_Present,Number_of_years_Rats_Absent,Number_of_years_Rats_Present,Number_of_sites_Rats_Absent,Number_of_sites_Rats_Present,Sample_size_overall_Rats_Absent,Sample_size_overall_Rats_Present,Comparison_notes,Long_term,Effect_size_conversion,cv_rats_absent,cv_rats_present,effect_size,sampling_variance,effect_size_type,analysis_group,Time,Hypothesis_supported_when,Question,Rat_Absent.Prey_Neg,Rat_Absent.Prey_Pos,Rat_Present.Prey_Neg,Rat_Present.Prey_Pos,correlation_id,n,r,effect_size_id
study_16,Puffinus yelkouan,Yelkouan Shearwater,Vulnerable,N/A,Rattus rattus,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.",N/A,Temporal,Rattus rattus,Zembretta Island,37.107,10.8744,Bird abundance (breeding) pre vs post rat eradication,Zembretta,Before/after,SD,Calculated,Number of nests,Abundance,Number of islands,Table 1,SMD,122.666666666667,12.5,67.3374586195034,6.36396103067893,1,1,3,2,1,1,3,2,Comparisons between sites with and without rats.,,,0.548946673528559,0.509116882454315,-1.66677462326543,1.69125336552111,SMD,Before-after eradication abundance,,,,,,,,,,,1
study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,Rattus rattus,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,Cat Rock,Before/after,SD,Calculated,Number of nests per site,Abundance,Number of islands,Table 1,SMD,0.125,0,0.353553390593274,0,1,1,8,4,1,1,8,4,Comparisons between sites with and without rats.,,,2.82842712474619,0,-0.461372804026543,0.300918918878237,SMD,Before-after eradication abundance,,,,,,,,,,,2
study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,Rattus rattus,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,Garbage Cove,Before/after,SD,Calculated,Number of nests per site,Abundance,Number of islands,Table 1,SMD,0.5,0,0.707106781186548,0,1,1,2,3,1,1,2,3,Comparisons between sites with and without rats.,,,1.4142135623731,0,-0.723601254558267,2.26179938779915,SMD,Before-after eradication abundance,,,,,,,,,,,3
study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,Rattus rattus,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,Landing Cove,Before/after,SD,Calculated,Number of nests per site,Abundance,Number of islands,Table 1,SMD,1,0,1.4142135623731,0,1,1,8,3,1,1,8,3,Comparisons between sites with and without rats.,,,1.4142135623731,0,-0.913874891792549,0.34536909413206,SMD,Before-after eradication abundance,,,,,,,,,,,4
study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,Rattus rattus,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,Lighthouse,Before/after,SD,Calculated,Number of nests per site,Abundance,Number of islands,Table 1,SMD,2.33333333333333,0,4.04145188432738,0,1,1,3,2,1,1,3,2,Comparisons between sites with and without rats.,,,1.73205080756888,0,-0.590817950301838,1.08726646259972,SMD,Before-after eradication abundance,,,,,,,,,,,5
study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,Rattus rattus,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,Rat Rock,Before/after,SD,Calculated,Number of nests per site,Abundance,Number of islands,Table 1,SMD,7.42857142857143,0,7.04407890494191,0,1,1,7,2,1,1,7,2,Comparisons between sites with and without rats.,,,0.948241391049872,0,-1.32467176609881,0.479562940658277,SMD,Before-after eradication abundance,,,,,,,,,,,6
study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,Rattus rattus,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,Sea Caves,Before/after,SD,Calculated,Number of nests per site,Abundance,Number of islands,Table 1,SMD,0,0,0,0,1,1,10,6,1,1,10,6,Comparisons between sites with and without rats.,,,0,0,,,SMD,Before-after eradication abundance,,,,,,,,,,,7
study_1,Cinclodes antarcticus,Blackish Cinclodes,Near Threatened,N/A,Rattus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2016. The ghost of invasives past: rat eradication and the community composition and energy flow of island bird communities. Ecosphere, 7(8), p.e01442.","Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2015. Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands. Journal of Animal Ecology, 84(3), pp.755-764.",Spatiotemporal,Rattus norvegicus,Falkland Islands,-51.7963,-59.5236,"Bird abundance on islands where rats are present, absent, and eradicated",,Presence/absence,SE,Article,Biomass (abundance X bird average mass),Abundance,Sites (islands),Figure 1,SMD,1433,35.09,966.378807714656,100.516132038594,1,1,1,1,57,67,57,67,Comparisons between sites with and without rats.,1,Convert to Odds Ratio for long term analysis,0.674374604127464,2.86452356906793,-3.50066371348506,0.137811383167909,SMD converted to OR,Long-term abundance,,,,,,,,,,,8
study_8,Prosobonia parvirostris,Tuamotu Sandpiper,Endangered,Prosobonia cancellata,Rattus rattus,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",N/A,Spatial,Rattus exulans,,-17.6797,-149.4068,,,Presence/Absence,,,Presence/Absence,Abundance,,,Binary Odds Ratio,,,,,,,,,,,,,,1,,,,-2.4567357728213,3.35238095238095,OR,Long-term abundance,,Negative,Long term rat and bird presence vs absence,0,2,3,1,,,,9
study_52,Puffinus yelkouan,Yelkouan Shearwater,Vulnerable,N/A,Rattus rattus,"Ruffino, L., Bourgeois, K., Vidal, E., Duhem, C., Paracuellos, M., Escribano, F., Sposimo, P., Baccetti, N., Pascal, M. and Oro, D., 2009. Invasive rats and seabirds after 2,000 years of an unwanted coexistence on Mediterranean islands. Biological invasions, 11, pp.1631-1651.",N/A,Spatial,Rattus rattus,,41.79091183,8.177286589,,,Presence/Absence,,,Presence/Absence,Abundance,,,Binary Odds Ratio,,,,,,,,,,,,,,1,,,,3.56172131548574,2.07036878150636,OR,Long-term abundance,,Negative,Long term rat and bird presence vs absence,36,0,71,34,,,,10
