scientificName,Rodent_attributed_final,Lethal_program_in_support,None,Not_in_support,Population_with_data_in_support,Population_without_data_in_support,Population_with_all_qualities_in_support,Predation_in_support,synth_col
Acrocephalus aequinoctialis,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus aequinoctialis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus aequinoctialis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Acrocephalus brevipennis,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus brevipennis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus brevipennis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Acrocephalus caffer,All rodents,0,1,2,0,0,0,0,All studies are not in support
Acrocephalus caffer,Rattus exulans,0,0,1,0,0,0,0,All studies are not in support
Acrocephalus caffer,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus caffer,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Acrocephalus hiwae,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus hiwae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus kerearako,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus kerearako,Rattus exulans,0,1,0,0,0,0,0,No studies found
Acrocephalus kerearako,Rattus rattus,0,1,0,0,0,0,0,No studies found
Acrocephalus longirostris,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus longirostris,Rattus exulans,0,1,0,0,0,0,0,No studies found
Acrocephalus longirostris,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus longirostris,Rattus rattus,0,1,0,0,0,0,0,No studies found
Acrocephalus musae,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus musae,Rattus exulans,0,1,0,0,0,0,0,No studies found
Acrocephalus musae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus musae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Acrocephalus nijoi,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus nijoi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Acrocephalus rehsei,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus rehsei,Rattus exulans,0,1,0,0,0,0,0,No studies found
Acrocephalus rehsei,Rattus rattus,0,1,0,0,0,0,0,No studies found
Acrocephalus rimitarae,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus rimitarae,Rattus exulans,0,1,0,0,0,0,0,No studies found
Acrocephalus rimitarae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus rodericanus,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus rodericanus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Acrocephalus rodericanus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Acrocephalus vaughani,All rodents,0,1,0,0,0,0,0,No studies found
Acrocephalus vaughani,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Aegotheles savesi,All rodents,0,1,0,0,0,0,0,No studies found
Aegotheles savesi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Aegotheles savesi,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Aegotheles savesi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Aerodramus bartschi,All rodents,1,0,1,0,0,0,1,Lethal program in support
Aerodramus bartschi,Rattus rattus,1,0,1,0,0,0,1,Lethal program in support
Agelaius xanthomus,All rodents,0,1,0,0,0,0,0,No studies found
Agelaius xanthomus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Alectroenas payandeei,All rodents,0,0,0,0,1,0,0,Population study without data in support
Alectroenas payandeei,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Alexandrinus eques,All rodents,0,1,0,0,0,0,0,No studies found
Alexandrinus eques,Rattus rattus,0,1,0,0,0,0,0,No studies found
Amaurocichla bocagii,All rodents,0,1,0,0,0,0,0,No studies found
Amaurocichla bocagii,Rattus rattus,0,1,0,0,0,0,0,No studies found
Amazona agilis,All rodents,0,1,0,0,0,0,0,No studies found
Amazona agilis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Amazona agilis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Amazona collaria,All rodents,0,1,0,0,0,0,0,No studies found
Amazona collaria,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Amazona collaria,Rattus rattus,0,1,0,0,0,0,0,No studies found
Amazona vittata,All rodents,0,0,0,0,0,0,1,Only predation in support
Amazona vittata,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Amytornis woodwardi,All rodents,0,1,0,0,0,0,0,No studies found
Amytornis woodwardi,Rattus rattus,0,1,0,0,0,0,0,No studies found
Anas eatoni,All rodents,0,1,0,0,0,0,0,No studies found
Anas eatoni,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Anas laysanensis,All rodents,0,0,3,0,0,0,0,All studies are not in support
Anas laysanensis,Rattus exulans,0,0,1,0,0,0,0,All studies are not in support
Anas laysanensis,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Anas laysanensis,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Anas melleri,All rodents,0,1,0,0,0,0,0,No studies found
Anas melleri,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Anas melleri,Rattus rattus,0,1,0,0,0,0,0,No studies found
Anas nesiotis,All rodents,0,1,0,0,0,0,0,No studies found
Anas nesiotis,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Anas wyvilliana,All rodents,0,0,0,0,0,0,3,Only predation in support
Anas wyvilliana,Rattus exulans,0,0,0,0,0,0,1,Only predation in support
Anas wyvilliana,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Anas wyvilliana,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Anthornis melanocephala,All rodents,0,1,0,0,0,0,0,No studies found
Anthornis melanocephala,Rattus exulans,0,1,0,0,0,0,0,No studies found
Anthornis melanocephala,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Anthornis melanocephala,Rattus rattus,0,1,0,0,0,0,0,No studies found
Apalopteron familiare,All rodents,0,1,1,0,0,0,1,Only predation in support
Apalopteron familiare,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Apalopteron familiare,Rattus rattus,0,0,1,0,0,0,1,Only predation in support
Aphrastura masafuerae,All rodents,0,1,0,0,0,0,0,No studies found
Aphrastura masafuerae,Mus musculus,0,1,0,0,0,0,0,No studies found
Aphrastura masafuerae,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Aphrastura masafuerae,Rattus rattus,0,1,0,0,0,0,0,No studies found
Aplonis cinerascens,All rodents,0,1,0,0,0,0,0,No studies found
Aplonis cinerascens,Rattus rattus,0,1,0,0,0,0,0,No studies found
Aplonis corvina,All rodents,0,1,0,0,0,0,0,No studies found
Aplonis corvina,Rattus exulans,0,1,0,0,0,0,0,No studies found
Aplonis corvina,Rattus rattus,0,1,0,0,0,0,0,No studies found
Aplonis fusca,All rodents,0,0,1,0,1,0,0,Population study without data in support
Aplonis fusca,Rattus rattus,0,0,1,0,1,0,0,Population study without data in support
Aplonis mavornata,All rodents,0,1,0,0,0,0,0,No studies found
Aplonis mavornata,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Aplonis pelzelni,All rodents,0,1,0,0,0,0,0,No studies found
Aplonis pelzelni,Rattus exulans,0,1,0,0,0,0,0,No studies found
Aplonis pelzelni,Rattus rattus,0,1,0,0,0,0,0,No studies found
Aplonis santovestris,All rodents,0,1,0,0,0,0,0,No studies found
Aplonis santovestris,Rattus exulans,0,1,0,0,0,0,0,No studies found
Aplonis santovestris,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Aplonis santovestris,Rattus rattus,0,1,0,0,0,0,0,No studies found
Aplonis ulietensis,All rodents,0,0,0,0,1,0,0,Population study without data in support
Aplonis ulietensis,Rattus norvegicus,0,0,0,0,1,0,0,Population study without data in support
Apteryx mantelli,All rodents,0,0,3,0,0,0,0,All studies are not in support
Apteryx mantelli,Rattus exulans,0,0,1,0,0,0,0,All studies are not in support
Apteryx mantelli,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Apteryx mantelli,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Ardenna carneipes,All rodents,0,0,1,0,1,0,0,Population study without data in support
Ardenna carneipes,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Ardenna carneipes,Rattus rattus,0,0,0,0,1,0,0,Population study without data in support
Ardenna creatopus,All rodents,0,0,2,0,0,0,0,All studies are not in support
Ardenna creatopus,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Ardenna creatopus,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Ardenna grisea,All rodents,0,1,0,0,1,0,0,Population study without data in support
Ardenna grisea,Rattus norvegicus,0,0,0,0,1,0,0,Population study without data in support
Ardenna grisea,Rattus rattus,0,1,0,0,0,0,0,No studies found
Ardeola idae,All rodents,0,0,0,0,0,0,2,Only predation in support
Ardeola idae,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Ardeola idae,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Aythya innotata,All rodents,0,1,0,0,0,0,0,No studies found
Aythya innotata,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Aythya innotata,Rattus rattus,0,1,0,0,0,0,0,No studies found
Bostrychia bocagei,All rodents,0,1,0,0,0,0,0,No studies found
Bostrychia bocagei,Rattus rattus,0,1,0,0,0,0,0,No studies found
Branta sandvicensis,All rodents,0,0,0,0,0,0,3,Only predation in support
Branta sandvicensis,Rattus exulans,0,0,0,0,0,0,1,Only predation in support
Branta sandvicensis,Rattus norvegicus,0,0,0,0,0,0,1,Only predation in support
Branta sandvicensis,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Bulweria fallax,All rodents,0,0,2,0,0,0,0,All studies are not in support
Bulweria fallax,Rattus norvegicus,0,0,1,0,0,0,0,All studies are not in support
Bulweria fallax,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Cabalus modestus,All rodents,0,1,0,0,0,0,0,No studies found
Cabalus modestus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Cabalus modestus,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Cabalus modestus,Rattus rattus,0,1,0,0,0,0,0,No studies found
Callaeas cinereus,All rodents,0,0,0,0,0,1,2,Population study with all qualities in support
Callaeas cinereus,Rattus rattus,0,0,0,0,0,1,2,Population study with all qualities in support
Calonectris leucomelas,All rodents,0,0,0,0,0,0,6,Only predation in support
Calonectris leucomelas,Rattus norvegicus,0,0,0,0,0,0,3,Only predation in support
Calonectris leucomelas,Rattus rattus,0,0,0,0,0,0,3,Only predation in support
Calyptophilus tertius,All rodents,0,1,0,0,0,0,0,No studies found
Calyptophilus tertius,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Calyptophilus tertius,Rattus rattus,0,1,0,0,0,0,0,No studies found
Carpodacus ferreorostris,All rodents,0,1,0,0,0,0,0,No studies found
Carpodacus ferreorostris,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Carpodacus ferreorostris,Rattus rattus,0,1,0,0,0,0,0,No studies found
Catharus bicknelli,All rodents,0,0,0,0,0,0,1,Only predation in support
Catharus bicknelli,Rattus rattus,0,0,0,0,0,0,1,Only predation in support
Certhidea olivacea,All rodents,0,1,0,0,0,0,0,No studies found
Certhidea olivacea,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Certhidea olivacea,Rattus rattus,0,1,0,0,0,0,0,No studies found
Charadrius obscurus,All rodents,0,1,2,0,0,0,1,Only predation in support
Charadrius obscurus,Rattus exulans,0,1,0,0,0,0,0,No studies found
Charadrius obscurus,Rattus norvegicus,0,0,1,0,0,0,1,Only predation in support
Charadrius obscurus,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Charadrius sanctaehelenae,All rodents,0,0,2,0,0,0,2,Only predation in support
Charadrius sanctaehelenae,Rattus norvegicus,0,0,1,0,0,0,1,Only predation in support
Charadrius sanctaehelenae,Rattus rattus,0,0,1,0,0,0,1,Only predation in support
Charmosyna amabilis,All rodents,0,1,0,0,0,0,0,No studies found
Charmosyna amabilis,Rattus rattus,0,1,0,0,0,0,0,No studies found
Charmosyna diadema,All rodents,0,1,0,0,0,0,0,No studies found
Charmosyna diadema,Rattus exulans,0,1,0,0,0,0,0,No studies found
Charmosyna diadema,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Charmosyna diadema,Rattus rattus,0,1,0,0,0,0,0,No studies found
Chasiempis ibidis,All rodents,0,0,0,1,1,1,1,Population study with all qualities in support
Chasiempis ibidis,Rattus rattus,0,0,0,1,1,1,1,Population study with all qualities in support
Chasiempis sclateri,All rodents,0,1,1,0,0,0,0,All studies are not in support
Chasiempis sclateri,Rattus exulans,0,1,0,0,0,0,0,No studies found
Chasiempis sclateri,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Chasiempis sclateri,Rattus rattus,0,0,1,0,0,0,0,All studies are not in support
Chenonetta finschi,All rodents,0,1,0,0,0,0,0,No studies found
Chenonetta finschi,Rattus exulans,0,1,0,0,0,0,0,No studies found
Chlidonias albostriatus,All rodents,0,0,2,0,0,0,3,Only predation in support
Chlidonias albostriatus,Rattus norvegicus,0,0,2,0,0,0,1,Only predation in support
Chlidonias albostriatus,Rattus rattus,0,0,0,0,0,0,2,Only predation in support
Chlorodrepanis stejnegeri,All rodents,0,1,0,0,0,0,0,No studies found
Chlorodrepanis stejnegeri,Mus musculus,0,1,0,0,0,0,0,No studies found
Chlorodrepanis stejnegeri,Rattus exulans,0,1,0,0,0,0,0,No studies found
Chlorodrepanis stejnegeri,Rattus norvegicus,0,1,0,0,0,0,0,No studies found
Chlorodrepanis stejnegeri,Rattus rattus,0,1,0,0,0,0,0,No studies found
Cinclodes antarcticus,All rodents,0,0,0,1,0,1,0,Population study with all qualities in support
Cinclodes antarcticus,Rattus norvegicus,0,0,0,1,0,1,0,Population study with all qualities in support
Cinclodes maculirostris,All rodents,0,0,0,0,1,0,0,Population study without data in support
