Rodent_species,Location,scientificName,min_difference,max_difference,median_difference,cat_arrival
All rodents,New Zealand,Coturnix novaezelandiae,15,1775,85,Extinction within 100 years of arrival
All rodents,"Auckland Islands, New Zealand",Mergus australis,33,96,64.5,Extinction within 100 years of arrival
All rodents,"Ile de Sainte-Marie, Madagascar",Coua delalandei,95,2979,1051.75,Extinction within 100 years of arrival
All rodents,"Ogasawara Islands, Japan",Columba versicolor,-36,286,64.75,Extinction before or after arrival
All rodents,"Makira, Solomon Islands",Pampusana salamonis,202,2744,248,Extinction at least 100-499 years after arrival
All rodents,"Hiva Oa, French polynesia",Ptilinopus mercierii,0,1972,224.5,Extinction within 100 years of arrival
All rodents,"Nuka Hiva, French polynesia",Ptilinopus mercierii,49,1899,151.5,Extinction within 100 years of arrival
All rodents,"Tahiti, French Polynesia",Hypotaenidia pacifica,-48,470,44,Extinction before or after arrival
All rodents,"Meheti'a, French Polynesia",Hypotaenidia pacifica,7,509,91,Extinction within 100 years of arrival
All rodents,"Chatham Islands, New Zealand",Hypotaenidia dieffenbachii,-137,540,-17,Extinction before or after arrival
All rodents,"Laysan Island, Hawaii",Zapornia palmeri,-27,-14,-20.5,Extinction before arrival
All rodents,"Eastern Island, Hawaii",Zapornia palmeri,1,1,1,Extinction within 100 years of arrival
All rodents,"Sand Island, Hawaii",Zapornia palmeri,0,0,0,Extinction within 100 years of arrival
All rodents,Hawaiian Islands,Zapornia sandwichensis,-15,719,88.5,Extinction before or after arrival
All rodents,"Kosrae, Micronesia",Zapornia monasa,428,478,453,Extinction at least 100-499 years after arrival
All rodents,"Tahiti, French Polynesia",Prosobonia leucoptera,-146,347,-66.5,Extinction before or after arrival
All rodents,"Kaua'i, Hawaii",Moho braccatus,106,117,111.5,Extinction at least 100-499 years after arrival
All rodents,"Moloka'i, Hawaiian Islands",Moho bishopi,25,34,29.5,Extinction within 100 years of arrival
All rodents,"Lord Howe Island, Australia",Gerygone insularis,10,17,13.5,Extinction within 100 years of arrival
All rodents,"South Island, New Zealand",Turnagra capensis,45,1805,115,Extinction within 100 years of arrival
All rodents,Hawaiian Islands,Corvus hawaiiensis,123,852,224,Extinction at least 100-499 years after arrival
All rodents,"Ogasawara Islands, Japan",Zoothera terrestris,-97,285,33.75,Extinction before or after arrival
All rodents,"Kosrae, Micronesia",Aplonis corvina,427,479,453,Extinction at least 100-499 years after arrival
All rodents,"Mauke, Cook Islands",Aplonis mavornata,-75,173,49,Extinction before or after arrival
All rodents,"Norfolk Island, Australia",Aplonis fusca,98,177,137.5,Extinction within 100 years of arrival
