assessmentId,internalTaxonId,scientificName,Common_name,Synonyms_or_previous_lump,Rodent_attributed_IUCN,Remove_rodent_spp_absent,Article,Article_year,Article_secondary_same_data,Exclude_row,Evidence_category,Evidence_effect,Evidence_method,Predation_type,Text_nests_or_individuals_predated,Percent_nests_or_individuals_predated,Sample_size_nests_monitored,Hypothesis_supported,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Sample_size_greater_than_1,Experiment_confounding_variables_included,Note_counfounders_included,Experiment_BACI,Study_rodent,Assigned_local_rodent,Study_location,Latitude,Longitude,Study_notes,Check_data_for_meta_analysis,redlistCategory,redlistCriteria,Primary_causes,Rodent_primary,Rodent_only_primary
92795779,22678955,Coturnix novaezelandiae,New Zealand Quail,,Rattus,,"Worthy, T.H. and Holdaway, R.N., 1996. Quaternary fossil faunas, overlapping taphonomies, and palaeofaunal reconstruction in North Canterbury, South Island, New Zealand. Journal of the Royal Society of New Zealand, 26(3), pp.275-361.",1996,,,Population,Abundance,Timing,,,,,0,0,,,,,,,Rattus exulans,,"North Canterbury, South Island, New Zealand",-43.7542,171.1637,"""The marked increase in abundance of these birds after the arrival of kiore reflects the increased presence of shrublands in the area following human arrival and anthropogenic burning.""",0,Extinct,,Disease,0,0
92854679,22680306,Anas eatoni,Southern Pintail,,Rattus norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulnerable,A3e,"Rats, cats",1,0
92864737,22680496,Mergus australis,New Zealand Merganser,,Rattus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extinct,,Hunting,0,0
93016420,22684143,Coua delalandei,Snail-eating Coua,,Rattus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extinct,,Habitat loss,0,0
93038207,22684630,Vini kuhlii,Rimatara Lorikeet,,Rattus rattus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endangered,"B1ab(iii,v)","Habitat loss, hunting",0,0
93062058,22685185,Eunymphicus cornutus,Horned Parakeet,,Rattus rattus,,"Robinet, O., Craig, J.L. and Chardonnet, L., 1998. Impact of rat species in Ouvea and Lifou (Loyalty Islands) and their consequences for conserving the endangered Ouvea Parakeet. Biological Conservation, 86(2), pp.223-232.",1998,,1,Other,Predation,Artificial,Eggs,,,,1,0,,,,,,,"Rattus rattus, Rattus exulans",,"Loyalty Islands, New Caledonia, South-west Pacific",-21.0454,167.3324,"Compared survival of experimental eggs on an island with kiore vs an island with kiore and black rats, more eggs were taken in the latter (~80% egg survival vs ~20%). It was not known who took the eggs but on both islands there were signs of rat predation on eggs. They also showed the number of kiore were similar between the two islands thus assumed black rats were the main egg thief. There are no parakeets on the island with black rats though - it was being assessed as a release site.",0,Vulnerable,C2a(ii),Habitat loss,0,0
93062058,22685185,Eunymphicus cornutus,Horned Parakeet,,Rattus rattus,,"Gula, R., Theuerkauf, J., Rouys, S. and Legault, A., 2010. An audio/video surveillance system for wildlife. European Journal of Wildlife Research, 56, pp.803-807.",2010,,,Predation,Predation,Predation,Unknown,,,,1,0,,,,,,,Rattus rattus,,New Caledonia,-20.9043,165.618,"A single predation event of parakeet by black rat recorded. Not stated whether the predation was of egg, chick or adult.",0,Vulnerable,C2a(ii),Habitat loss,0,0
93265793,22690218,Columba versicolor,Bonin Woodpigeon,,Rattus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extinct,,Habitat loss,0,0
93300863,22691042,Pampusana stairi,Shy Ground-dove,"Alopecoenas stairi, Gallicolumba stairi",Rattus exulans,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulnerable,C2a(i),Habitat loss,0,0
93301654,22691056,Pampusana salamonis,Thick-billed Ground-dove,"Alopecoenas salamonis, Gallicolumba salamonis",Rattus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extinct,,"Rats, cats, dogs, pigs",1,0
