assessmentId,internalTaxonId,Study_ID,scientificName,Common_name,redlistCategory,Synonyms_or_previous_lump,Study_rodent,Rodent_attributed_IUCN,Article,Article_secondary_same_data,Study_type,Study_data_type_useable,Study_rodent_species_Rattus_genus,Latitude,Longitude,Predator_error,Effect_type,Abundance_reproduction,Hypothesis_supported_when,Prey_units,Rat_Absent.Prey_Neg,Rat_Absent.Prey_Pos,Rat_Present.Prey_Neg,Rat_Present.Prey_Pos,Study_location,Description,Site,Predator_error_type,Predator_sample_size,Prey_error,Prey_error_type,Sampling_quote,Source,Data_notes,Predator_comment
95194072,62289271,study_8,Prosobonia parvirostris,Tuamotu Sandpiper,Endangered,Prosobonia cancellata,Rattus exulans,Rattus rattus,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",N/A,Spatial,,,-17.6797,-149.4068,,Binary Odds Ratio,Presence-absence,Negative,Presence/Absence,0,2,3,1,,,,,,,,,,,
132055913,22684647,study_10,Vini ultramarina,Ultramarine Lorikeet,Critically Endangered,N/A,Rattus rattus,Rattus rattus,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",N/A,Spatial,,,-17.6797,-149.4068,,Binary Odds Ratio,Presence-absence,Negative,Presence/Absence,0,1,2,0,,,,,,,,,,,
132637221,22698230,study_52,Puffinus yelkouan,Yelkouan Shearwater,Vulnerable,N/A,Rattus rattus,Rattus rattus,"Ruffino, L., Bourgeois, K., Vidal, E., Duhem, C., Paracuellos, M., Escribano, F., Sposimo, P., Baccetti, N., Pascal, M. and Oro, D., 2009. Invasive rats and seabirds after 2,000 years of an unwanted coexistence on Mediterranean islands. Biological invasions, 11, pp.1631-1651.",N/A,Spatial,,,41.7909118297872,8.17728658865248,,Binary Odds Ratio,Presence-absence,Negative,Presence/Absence,36,0,71,34,,,,,,,,,,,
132658315,22728432,study_51,Puffinus mauretanicus,Balearic Shearwater,Critically Endangered,N/A,Rattus rattus,"Rattus rattus, Rattus norvegicus","Ruffino, L., Bourgeois, K., Vidal, E., Duhem, C., Paracuellos, M., Escribano, F., Sposimo, P., Baccetti, N., Pascal, M. and Oro, D., 2009. Invasive rats and seabirds after 2,000 years of an unwanted coexistence on Mediterranean islands. Biological invasions, 11, pp.1631-1651.",N/A,Spatial,,,40.1258441176471,2.51368232352941,,Binary Odds Ratio,Presence-absence,Negative,Presence/Absence,35,0,20,13,,,,,,,,,,,
198765127,22684641,study_26,Vini peruviana,Blue Lorikeet,Vulnerable,N/A,Rattus rattus,Rattus rattus,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",N/A,Spatial,,,-17.6797,-149.4068,,Binary Odds Ratio,Presence-absence,Negative,Presence/Absence,1,3,4,0,,,,,,,,,,,
132468877,132468585,study_11,Puffinus myrtae,Rapa Shearwater,Critically Endangered,"Puffinus assimilis, Puffinus newelli",Rattus exulans,Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,,,-35.8911,174.7303,,Continuous Odds Ratio,Reproduction,Negative,Percent breeding success,24,31,35,2,"Lady Alice Island, Coppermine Island",Bird abundance (breeding success) pre vs post rat eradication at 2 islands,Coppermine,,,add if relevant,SE,,Figure 2,,
132468877,132468585,study_11,Puffinus myrtae,Rapa Shearwater,Critically Endangered,"Puffinus assimilis, Puffinus newelli",Rattus exulans,Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,,,-35.8911,174.7303,,Continuous Odds Ratio,Reproduction,Negative,Percent breeding success,37,77,30,23,"Lady Alice Island, Coppermine Island",Bird abundance (breeding success) pre vs post rat eradication at 2 islands,Lady Alice,,,add if relevant,SE,,Figure 2,,
132616888,22697984,study_14,Pterodroma pycrofti,Pycroft's Petrel,Vulnerable,N/A,Rattus exulans,Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,,,-35.8911,174.7303,,Continuous Odds Ratio,Reproduction,Negative,Percent breeding success,29,43,88,49,"Lady Alice Island, Coppermine Island",Bird abundance (breeding success) pre vs post rat eradication at 2 islands,Coppermine,,,add if relevant,SE,,Figure 2,,
132616888,22697984,study_14,Pterodroma pycrofti,Pycroft's Petrel,Vulnerable,N/A,Rattus exulans,Rattus exulans,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.",N/A,Temporal,,,-35.8911,174.7303,,Continuous Odds Ratio,Reproduction,Negative,Percent breeding success,128,190,42,23,"Lady Alice Island, Coppermine Island",Bird abundance (breeding success) pre vs post rat eradication at 2 islands,Lady Alice,,,add if relevant,SE,,Figure 2,,
132616449,22697975,study_13,Pterodroma cookii,Cook's Petrel,Vulnerable,Pterodroma cooki,Rattus exulans,"Rattus exulans, Rattus rattus","Imber, M.J., West, J.A. and Cooper, W.J., 2003. Cook's petrel (Pterodroma cookii): historic distribution, breeding biology and effects of predators. Notornis, 50(4), pp.221-230.",N/A,Temporal,,,-36.1946,175.0753,,Continuous Odds Ratio,Reproduction,Negative,Percent breeding success,10,33,123,57,Little Barrier Island,Bird abundance (breeding success) pre vs post rat eradication at 2 sites,High area,,,,,,Table 5,,
