assessmentId,internalTaxonId,scientificName,Common_name,Synonyms_or_previous_lump,Original_rodents_attributed_IUCN,redlistCategory,redlistCriteria,Primary_causes,Rodent_primary,Rodent_only_primary,has_study,orig_attrib_ID,Rodent_attributed,Location_species_comment,Location_species_reference
149571193,22714802,Acrocephalus aequinoctialis,Kiritimati Reed-warbler,,"Rattus, Rattus rattus",Endangered,"B2ab(ii,iii,v)",0,0,0,No,212,Rattus,,
149571193,22714802,Acrocephalus aequinoctialis,Kiritimati Reed-warbler,,"Rattus, Rattus rattus",Endangered,"B2ab(ii,iii,v)",0,0,0,No,212,Rattus rattus,,
118484641,22714852,Acrocephalus brevipennis,Cape Verde Swamp-warbler,,"Rattus rattus, Rattus norvegicus",Vulnerable,"B1ab(ii,iii)+2ab(ii,iii)",Habitat loss,0,0,No,90,Rattus rattus,,"Hazevoet, C.J. and Masseti, M., 2011. On the history of the green monkey Chlorocebus sabaeus (L., 1766) in the Cape Verde Islands, with notes on other introduced mammals. Zoologia Caboverdiana, 2(1), pp.12-24."
118484641,22714852,Acrocephalus brevipennis,Cape Verde Swamp-warbler,,"Rattus rattus, Rattus norvegicus",Vulnerable,"B1ab(ii,iii)+2ab(ii,iii)",Habitat loss,0,0,No,90,Rattus norvegicus,,"Hazevoet, C.J. and Masseti, M., 2011. On the history of the green monkey Chlorocebus sabaeus (L., 1766) in the Cape Verde Islands, with notes on other introduced mammals. Zoologia Caboverdiana, 2(1), pp.12-24."
171743603,104003523,Acrocephalus caffer,Tahiti Reed-warbler,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Vulnerable,D1,Unknown,0,0,Yes,236,Rattus rattus,,"Meyer, J.Y. and Butaud, J.F., 2009. The impacts of rats on the endangered native flora of French Polynesia (Pacific Islands): drivers of plant extinction or coup de grâce species?. Biological Invasions, 11, pp.1569-1585. Atkinson, 1985. The spread of commensal species of Rattus to the oceanic islands and their effects on the islands avifauna"
171743603,104003523,Acrocephalus caffer,Tahiti Reed-warbler,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Vulnerable,D1,Unknown,0,0,Yes,236,Rattus norvegicus,,"Meyer, J.Y. and Butaud, J.F., 2009. The impacts of rats on the endangered native flora of French Polynesia (Pacific Islands): drivers of plant extinction or coup de grâce species?. Biological Invasions, 11, pp.1569-1585. Atkinson, 1985. The spread of commensal species of Rattus to the oceanic islands and their effects on the islands avifauna"
171743603,104003523,Acrocephalus caffer,Tahiti Reed-warbler,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Vulnerable,D1,Unknown,0,0,Yes,236,Rattus exulans,,"Meyer, J.Y. and Butaud, J.F., 2009. The impacts of rats on the endangered native flora of French Polynesia (Pacific Islands): drivers of plant extinction or coup de grâce species?. Biological Invasions, 11, pp.1569-1585. Atkinson, 1985. The spread of commensal species of Rattus to the oceanic islands and their effects on the islands avifauna"
125502795,103780118,Acrocephalus hiwae,Saipan Reed-warbler,,Rattus norvegicus,Critically Endangered,A3bce+4bce,Habitat loss,0,0,No,117,Rattus norvegicus,Information used for Saipan,"Barbehenn, K. R. ""Recent invasions of Micronesia by small mammals."" Micronesica 10, no. 1 (1974): 41-50."
94428846,22714821,Acrocephalus kerearako,Cook Islands Reed-warbler,,"Rattus exulans, Rattus rattus",Near Threatened,B1b(v); D2,"Rats, cats, myna",1,0,No,51,Rattus exulans,,
94428846,22714821,Acrocephalus kerearako,Cook Islands Reed-warbler,,"Rattus exulans, Rattus rattus",Near Threatened,B1b(v); D2,"Rats, cats, myna",1,0,No,51,Rattus rattus,,
