assessmentId,internalTaxonId,Study_ID,scientificName,Common_name,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_IUCN,Article,Article_secondary_same_data,Study_type,Study_data_type_useable,Study_rodent,Study_rodent_species_Rattus_genus,Study_location,Latitude,Longitude,Description,Year,Site,Predator_error,Predator_error_type,Predator_units,Predator_comment,Prey_error_type,Prey_units,Abundance_reproduction,Hypothesis_supported_when,Prey_comment,Sample_type,Sampling_quote,Source,Data_notes,Effect_type,Prey_mean_Rats_Absent,Prey_mean_Rats_Present,Prey_error_Rats_Absent,Prey_error_Rats_Present,Sample_size_overall_Rats_Absent,Sample_size_overall_Rats_Present,Prey_sample_size_Rats_Absent,Prey_sample_size_Rats_Present,Comparison_notes
93860479,103670928,study_1,Cinclodes antarcticus,Blackish Cinclodes,Near Threatened,N/A,Rattus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2016. The ghost of invasives past: rat eradication and the community composition and energy flow of island bird communities. Ecosphere, 7(8), p.e01442.","Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2015. Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands. Journal of Animal Ecology, 84(3), pp.755-764.",Spatiotemporal,Spatial,Rattus norvegicus,,Falkland Islands,-51.7963,-59.5236,"Bird abundance on islands where rats are present, absent, and eradicated",,,,,Not/eradicated,,SE,Biomass (abundance X bird average mass),Abundance,Negative,,Sites (islands),"""a subset of these islands (n = 159) was simultaneously surveyed for bird abundance. Surveys involved walking at least 1 km of coastline, or the entire island perimeter for smaller islands (<10 ha).""",Figure 1,"Data available for this species for spatial comparison but not temporal (the temporal data combines all bird species) + comparison presnet-absent, and present-eradicated seperately",SMD,377.19,35.090000000000003,115.79,12.28,35,67,,,Comparisons between sites with and without rats.
93860479,103670928,study_1,Cinclodes antarcticus,Blackish Cinclodes,Near Threatened,N/A,Rattus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2016. The ghost of invasives past: rat eradication and the community composition and energy flow of island bird communities. Ecosphere, 7(8), p.e01442.","Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2015. Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands. Journal of Animal Ecology, 84(3), pp.755-764.",Spatiotemporal,Spatial,Rattus norvegicus,,Falkland Islands,-51.7963,-59.5236,"Bird abundance on islands where rats are present, absent, and eradicated",,,,,Presence/absence,,SE,Biomass (abundance X bird average mass),Abundance,Negative,,Sites (islands),"""a subset of these islands (n = 159) was simultaneously surveyed for bird abundance. Surveys involved walking at least 1 km of coastline, or the entire island perimeter for smaller islands (<10 ha).""",Figure 1,"Data available for this species for spatial comparison but not temporal (the temporal data combines all bird species) + comparison presnet-absent, and present-eradicated seperately",SMD,1433,35.090000000000003,128,12.28,57,67,,,Comparisons between sites with and without rats.
132637221,22698230,study_17,Puffinus yelkouan,Yelkouan Shearwater,Vulnerable,N/A,Rattus rattus,"Martin, J.L., Thibault, J.C. and Bretagnolle, V., 2000. Black rats, island characteristics, and colonial nesting birds in the Mediterranean: consequences of an ancient introduction. Conservation Biology, 14(5), pp.1452-1466.",N/A,Spatial,,Rattus rattus,,Cabrera Islands,39.1407,2.9451,Bird abundance on islands where rats are present and absent,,,,,Presence/absence,,SD,Abundance,,,Unclear what the abundance metric is,Number of islands,,Appendix,,SMD,0.48,39.3617021276596,2.4,147.108866154925,25,47,,,Comparisons between sites with and without rats.
132637221,22698230,study_16,Puffinus yelkouan,Yelkouan Shearwater,Vulnerable,N/A,Rattus rattus,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.",N/A,Temporal,,Rattus rattus,,Zembretta Island,37.107,10.8744,Bird abundance (breeding) pre vs post rat eradication,,Zembretta,,,Presence/absence,,SD,Number of nests,,,,Number of islands,,Table 1,Zembrettina data excluded as there is no data pre-eradication,SMD,122.666666666667,12.5,67.3374586195034,6.36396103067893,3,2,,,Comparisons between sites with and without rats.
180893939,22694903,study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,,Rattus rattus,,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,,Cat Rock,,,Presence/absence,,SD,Number of nests per site,,,,Number of islands,,Table 1,,SMD,0.125,0,0.353553390593274,0,8,4,,,Comparisons between sites with and without rats.
180893939,22694903,study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,,Rattus rattus,,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,,Garbage Cove,,,Presence/absence,,SD,Number of nests per site,,,,Number of islands,,Table 1,,SMD,0.5,0,0.707106781186548,0,2,3,,,Comparisons between sites with and without rats.
180893939,22694903,study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,,Rattus rattus,,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,,Landing Cove,,,Presence/absence,,SD,Number of nests per site,,,,Number of islands,,Table 1,,SMD,1,0,1.4142135623731,0,8,3,,,Comparisons between sites with and without rats.
180893939,22694903,study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,,Rattus rattus,,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,,Lighthouse,,,Presence/absence,,SD,Number of nests per site,,,,Number of islands,,Table 1,,SMD,2.33333333333333,0,4.04145188432738,0,3,2,,,Comparisons between sites with and without rats.
180893939,22694903,study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,,Rattus rattus,,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,,Rat Rock,,,Presence/absence,,SD,Number of nests per site,,,,Number of islands,,Table 1,,SMD,7.42857142857143,0,7.04407890494191,0,7,2,,,Comparisons between sites with and without rats.
180893939,22694903,study_53,Ptychoramphus aleuticus,Cassin's Auklet,Near Threatened,N/A,"Rattus rattus, Rattus norvegicus","WHITWORTH, D.L., HARVEY, A.L., CARTER, H.R., YOUNG, R.J., KOEPKE, J.S. and MAZURKIEWICZ, D.M., 2015. Breeding of Cassin's auklets Ptychoramphus aleuticus at Anacapa Island, California, after eradication of black rats Rattus rattus. Marine Ornithology, 43, pp.19-24.",N/A,Temporal,,Rattus rattus,,Anacapa Island,34.0044,-119.3996,Before-after rat eradication,,Sea Caves,,,Presence/absence,,SD,Number of nests per site,,,,Number of islands,,Table 1,,SMD,0,0,0,0,10,6,,,Comparisons between sites with and without rats.
