scientificName,Article,Article_secondary_same_data,Study_type,Fishy_Study_Type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_data,Experiment_control_site_or_spatial_variation,Experiment_sample_size,Experiment_confounding_variables_included,Experiment_sites_randomly_selected_REMOVE,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_rodent,orig_study_ID
Coturnix novaezelandiae,"Worthy, T.H. and Holdaway, R.N., 1996. Quaternary fossil faunas, overlapping taphonomies, and palaeofaunal reconstruction in North Canterbury, South Island, New Zealand. Journal of the Royal Society of New Zealand, 26(3), pp.275-361.","",Timing,,"",0,"",0,"","",,"","","North Canterbury, South Island, New Zealand",-43.7542,171.1637,"""""The marked increase in abundance of these birds after the arrival of kiore reflects the increased presence of shrublands in the area following human arrival and anthropogenic burning.""""",Rattus exulans,1
Eunymphicus cornutus,"Robinet, O., Craig, J.L. and Chardonnet, L., 1998. Impact of rat species in Ouvea and Lifou (Loyalty Islands) and their consequences for conserving the endangered Ouvea Parakeet. Biological Conservation, 86(2), pp.223-232.","",Predation,1,"",1,"",1,1,1,0,0,0,"Loyalty Islands, New Caledonia, South-west Pacific",-21.0454,167.3324,"Compared survival of experimental eggs on an island with kiore vs an island with kiore and black rats, more eggs were taken in the latter (~80% egg survival vs ~20%). It was not known who took the eggs but on both islands there were signs of rat predation on eggs. They also showed the number of kiore were similar between the two islands thus assumed black rats were the main egg thief. There are no parakeets on the island with black rats though - it was being assessed as a release site.","Rattus rattus, Rattus exulans",2
Eunymphicus cornutus,"Gula, R., Theuerkauf, J., Rouys, S. and Legault, A., 2010. An audio/video surveillance system for wildlife. European Journal of Wildlife Research, 56, pp.803-807.","",Predation,,"",1,"",0,"","",,"","",New Caledonia,-20.9043,165.618,"A single predation event of parakeet by black rat recorded. Not stated whether the predation was of egg, chick or adult.",Rattus rattus,3
Ducula galeata,"Villard, P., De Visscher, M.N. and Balança, G., 2003. Population size, habitats and conservation of Marquesan Imperial Pigeon Ducula galeata. Bird Conservation International, 13(3), pp.189-197.","",Spatial,,"",0,"",0,"","",,"","",Nuku Hiva,-8.8605,140.1421,"""""Introduced black rats Rattus rattus do not seem to be a threat for this bird"""" """"The significant proportion of young pigeons observed during this study suggests that rats do not significantly jeopardize their breeding success"""" """"Black rats Rattus rattus were present everywhere that Upe were found in our study and we even trapped them at the foot of several trees with an occupied nest.""""",Rattus rattus,4
Zapornia monasa,BirdLife International. 2016. Zapornia monasa. The IUCN Red List of Threatened Species 2016: e.T22692708A93366211. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22692708A93366211.en. Accessed on 10 November 2023.,"",Timing,,"",1,"",0,"","",,"","",Kosrae,5.3166654,162.9833294,"""""Its extinction quickly followed the arrival of rats from missionary and whaling ships in the 1830s and 1840s (Taylor 1998)""""",Rattus,5
Falco punctatus,"Cade, T.J. and Jones, C.G., 1993. Progress in restoration of the Mauritius kestrel. Conservation biology, 7(1), pp.169-175.","",Predation,,"",1,"",0,"","",,"","",Mauritius,-20.3484,57.5522,Mentions that rats are among predators of eggs and nestlings although mongooses seem more common predator,Rattus rattus,6
Cinclodes antarcticus,"Tabak, M.A., Anderson, O.R., Robb, G., Poncet, S., Passfield, K., Martinez, M.G. and Martinez Del Rio, C., 2016. Comparative isotopic natural history of two native passerines (Troglodytes cobbi and Cinclodes antarcticus) and the invasive rats (Rattus norvegicus) that extirpate them. Austral Ecology, 41(6), pp.622-632.","",Diet overlap,,"",1,"",0,"","",,"","",Falkland Islands,-51.7963,-59.5236,"There is dietary """"overlap in resource use of rats with that of Cinclodes and Troglodytes"""" where the species do not co-occur",Rattus norvegicus,7
Cinclodes antarcticus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2016. The ghost of invasives past: rat eradication and the community composition and energy flow of island bird communities. Ecosphere, 7(8), p.e01442.","",Spatiotemporal,,"",1,"",1,1,"35, 57, 67 islands",0,0,0,Falkland Islands,-51.7963,-59.5236,"Islands without rats have the most cinclodes, then islands where rats were eradicated and lastly islands with rats. Sample size of islands is high (35-67 per category) AND positive correlation between time since eradication and cinclodes abundance.",Rattus norvegicus,8
Cinclodes antarcticus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2015. Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands. Journal of Animal Ecology, 84(3), pp.755-764.","Tabak, M.A., Poncet, S., Passfield, K. and Martinez del Rio, C., 2014. Invasive species and land bird diversity on remote South Atlantic islands. Biological Invasions, 16, pp.341-352.",Spatial,,"",1,"",1,1,"37, 85, 108 islands",1,0,0,Falkland Islands,-51.7963,-59.5236,Probability of occupancy positively associated with island size mostly where rats were absent or eradicated but weak relationship where rats were present. This pattern was not consistent with other passerines studied,Rattus norvegicus,9
Apalopteron familiare,BirdLife International. 2016. Apalopteron familiare. The IUCN Red List of Threatened Species 2016: e.T22704125A93953867. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704125A93953867.en. Accessed on 10 November 2023.,"",Predation,,"",1,"",0,"","",,"","","",,,"Nest predation by introduced black rats may be a threat on Hahajima (Kawakami in litt. 2012), but rats do not currently seem to be affecting the population.",Rattus rattus,10
