Species;Common name;Order;Family;Status;Status_code;Sizemin;Sizemax;Migratory status;migrant_code;Population trend;Trend_code;Extent of occurrence (km2);Generation length (yrs);SSI_Diet;SSI_Habitat;Neartic;Paleartic;Afrotropical;Neotropical;Indomalayan;Australasian;Oceanic
Abeillia abeillei;Emerald-chinned Hummingbird;Caprimulgiformes;Trochilidae;Least Concern;1;7;7.5;not a migrant;1;Decreasing;1;379000;4.2;1.58113883;4.949747468;0;0;0;1;0;1;0
Abroscopus albogularis;Rufous-faced Warbler;Passeriformes;Scotocercidae;Least Concern;1;8;9;not a migrant;1;Stable;2;4300000;3.6;3.605551275;4.949747468;0;1;0;0;1;1;0
Abroscopus schisticeps;Black-faced Warbler;Passeriformes;Scotocercidae;Least Concern;1;10;10;not a migrant;1;Stable;2;2160000;3.6;3.605551275;7.071067812;0;1;0;0;1;1;0
Abroscopus superciliaris;Yellow-bellied Warbler;Passeriformes;Scotocercidae;Least Concern;1;9;9;altitudinal migrant;2;Stable;2;8290000;3.6;3.605551275;4.949747468;0;1;0;0;1;1;0
Aburria aburri;Wattled Guan;Galliformes;Cracidae;Near Threatened;2;72.5;81.5;not a migrant;1;Decreasing;1;1880000;5.7;1.58113883;4;0;0;0;1;0;1;0
Acanthagenys rufogularis;Spiny-cheeked Honeyeater;Passeriformes;Meliphagidae;Least Concern;1;22;27;not a migrant;1;Decreasing;1;7380000;6.8;1;2.738612788;0;0;0;0;0;1;1
Acanthidops bairdi;Peg-billed Finch;Passeriformes;Thraupidae;Least Concern;1;13;13;not a migrant;1;Decreasing;1;12800;3.8;1.341640786;4.949747468;0;0;0;1;0;1;0
Acanthis flammea;Redpoll;Passeriformes;Fringillidae;Least Concern;1;12.5;14;full migrant;3;Decreasing;1;61400000;4.5;1.914854216;3.033150178;0;0;0;0;0;1;0
Acanthisitta chloris;Rifleman;Passeriformes;Acanthisittidae;Least Concern;1;7;9;not a migrant;1;Decreasing;1;563000;3.5;1.914854216;3.4278273;0;0;0;0;0;1;1
Acanthiza apicalis;Inland Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11.5;not a migrant;1;Decreasing;1;5940000;5.7;1.914854216;2.024845673;0;0;0;0;0;1;1
Acanthiza chrysorrhoa;Yellow-rumped Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9.5;12;not a migrant;1;Decreasing;1;7440000;5.7;1.154700538;2.024845673;0;0;0;0;0;1;1
Acanthiza cinerea;Grey Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;9;not a migrant;1;Stable;2;677000;5.5;2.449489743;7.071067812;0;0;0;0;0;1;1
Acanthiza ewingii;Tasmanian Thornbill;Passeriformes;Acanthizidae;Least Concern;1;10.5;11.5;not a migrant;1;Decreasing;1;134000;5.7;1.58113883;2.738612788;0;0;0;0;0;1;1
Acanthiza inornata;Western Thornbill;Passeriformes;Acanthizidae;Least Concern;1;8;10.5;not a migrant;1;Decreasing;1;195000;5.7;2.449489743;3.033150178;0;0;0;0;0;1;1
Acanthiza iredalei;Slender-billed Thornbill;Passeriformes;Acanthizidae;Least Concern;1;8.5;11;not a migrant;1;Decreasing;1;2410000;5.7;1.154700538;4;0;0;0;0;0;1;1
Acanthiza katherina;Mountain Thornbill;Passeriformes;Acanthizidae;Least Concern;1;10;10.5;not a migrant;1;Stable;2;69200;5.7;2.449489743;4.949747468;0;0;0;0;0;1;1
Acanthiza lineata;Striated Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11;not a migrant;1;Decreasing;1;1810000;5.7;1.154700538;2.160246899;0;0;0;0;0;1;1
Acanthiza murina;New Guinea Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;10;not a migrant;1;Stable;2;278000;5.7;0.745355992;7.071067812;0;0;0;0;0;1;1
Acanthiza nana;Yellow Thornbill;Passeriformes;Acanthizidae;Least Concern;1;8.5;10;not a migrant;1;Decreasing;1;2790000;5.7;1.914854216;2.024845673;0;0;0;0;0;1;1
Acanthiza pusilla;Brown Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11.5;not a migrant;1;Stable;2;2420000;5.7;1;1.906925178;0;0;0;0;0;1;0
Acanthiza reguloides;Buff-rumped Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9.5;11;not a migrant;1;Decreasing;1;2620000;5.7;1.154700538;3.033150178;0;0;0;0;0;1;1
Acanthiza robustirostris;Slaty-backed Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9.5;11.5;not a migrant;1;Stable;2;3020000;5.7;2.449489743;4;0;0;0;0;0;1;1
Acanthiza uropygialis;Chestnut-rumped Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11;not a migrant;1;Decreasing;1;6120000;5.7;1.341640786;2.738612788;0;0;0;0;0;1;1
Acanthoptila nipalensis;Spiny Babbler;Passeriformes;Leiotrichidae;Least Concern;1;22;26;not a migrant;1;Stable;2;90700;8.8;1.341640786;7.071067812;0;1;0;0;1;1;0
Acanthorhynchus superciliosus;Western Spinebill;Passeriformes;Meliphagidae;Least Concern;1;12.5;15.5;not a migrant;1;Decreasing;1;351000;5.6;1.914854216;2.738612788;0;0;0;0;0;1;1
Acanthorhynchus tenuirostris;Eastern Spinebill;Passeriformes;Meliphagidae;Least Concern;1;13;16;not a migrant;1;Decreasing;1;3060000;5.6;1.58113883;2.318404624;0;0;0;0;0;1;1
Acanthornis magna;Scrubtit;Passeriformes;Acanthizidae;Least Concern;1;11;12;not a migrant;1;Decreasing;1;103000;5.3;2.449489743;4.949747468;0;0;0;0;0;1;1
Accipiter badius;Shikra;Accipitriformes;Accipitridae;Least Concern;1;25;44.5;full migrant;3;Stable;2;65900000;6.7;2.449489743;2.318404624;0;1;1;0;1;1;0
Accipiter brevipes;Levant Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;30;37;full migrant;3;Stable;2;6330000;7.2;1.58113883;2.318404624;0;1;1;0;0;1;0
Accipiter butleri;Nicobar Sparrowhawk;Accipitriformes;Accipitridae;Vulnerable;3;28;34;not a migrant;1;Decreasing;1;3500;7.2;1.58113883;7.071067812;0;0;0;0;1;1;0
Accipiter castanilius;Chestnut-flanked Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;28;37;not a migrant;1;Decreasing;1;3810000;7.2;1.58113883;7.071067812;0;0;1;0;0;1;0
Accipiter cirrocephalus;Collared Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;27;38;not a migrant;1;Decreasing;1;14400000;7.2;2.449489743;2.160246899;0;0;0;0;0;1;1
Accipiter collaris;Semi-collared Hawk;Accipitriformes;Accipitridae;Near Threatened;2;25;30;not a migrant;1;Stable;2;1900000;7.2;2.449489743;7.071067812;0;0;0;1;0;1;0
Accipiter cooperii;Cooper's Hawk;Accipitriformes;Accipitridae;Least Concern;1;37;47;full migrant;3;Increasing;3;11800000;7.2;2.449489743;2.507132682;1;0;0;1;0;1;0
Accipiter erythrauchen;Rufous-necked Sparrowhawk;Accipitriformes;Accipitridae;Near Threatened;2;26;35;not a migrant;1;Decreasing;1;240000;7.2;2.449489743;4;0;0;0;0;0;1;1
