scientificName,assessmentId,internalTaxonId,Common_name,Synonyms_or_previous_lump,Original_rodent_attributed_IUCN,redlistCategory,redlistCriteria,Primary_causes,Rodent_primary,Rodent_only_primary,has_study,key,Rodent_attributed_final,Rodent_attribution_source
Acrocephalus aequinoctialis,149571193,22714802,Kiritimati Reed-warbler,"","Rattus, Rattus rattus",Endangered,"B2ab(ii,iii,v)",Unknown,0,0,No,Acrocephalus aequinoctialis_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus aequinoctialis,149571193,22714802,Kiritimati Reed-warbler,"","Rattus, Rattus rattus",Endangered,"B2ab(ii,iii,v)",Unknown,0,0,No,Acrocephalus aequinoctialis_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus brevipennis,118484641,22714852,Cape Verde Swamp-warbler,"",Rattus,Vulnerable,"B1ab(ii,iii)+2ab(ii,iii)",Habitat loss,0,0,No,Acrocephalus brevipennis_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus brevipennis,118484641,22714852,Cape Verde Swamp-warbler,"",Rattus,Vulnerable,"B1ab(ii,iii)+2ab(ii,iii)",Habitat loss,0,0,No,Acrocephalus brevipennis_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus caffer,171743603,104003523,Tahiti Reed-warbler,"",Rattus,Vulnerable,D1,Unknown,0,0,Yes,Acrocephalus caffer_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus caffer,171743603,104003523,Tahiti Reed-warbler,"",Rattus,Vulnerable,D1,Unknown,0,0,Yes,Acrocephalus caffer_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus caffer,171743603,104003523,Tahiti Reed-warbler,"",Rattus,Vulnerable,D1,Unknown,0,0,Yes,Acrocephalus caffer_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus hiwae,125502795,103780118,Saipan Reed-warbler,"",Rattus,Critically Endangered,A3bce+4bce,Habitat loss,0,0,No,Acrocephalus hiwae_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus kerearako,94428846,22714821,Cook Islands Reed-warbler,"","Rattus exulans, Rattus rattus",Near Threatened,B1b(v); D2,"Rats, cats, myna",1,0,No,Acrocephalus kerearako_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Acrocephalus kerearako,94428846,22714821,Cook Islands Reed-warbler,"","Rattus exulans, Rattus rattus",Near Threatened,B1b(v); D2,"Rats, cats, myna",1,0,No,Acrocephalus kerearako_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Acrocephalus longirostris,154471605,22735588,Moorea Reed-warbler,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Acrocephalus longirostris_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus longirostris,154471605,22735588,Moorea Reed-warbler,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Acrocephalus longirostris_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus longirostris,154471605,22735588,Moorea Reed-warbler,"",Rattus,Critically Endangered,D,Unknown,0,0,No,Acrocephalus longirostris_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus musae,117345149,22735592,Forster's Reed-warbler,"",Rattus,Extinct,"","Rats, cats, myna",1,0,No,Acrocephalus musae_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus musae,117345149,22735592,Forster's Reed-warbler,"",Rattus,Extinct,"","Rats, cats, myna",1,0,No,Acrocephalus musae_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus musae,117345149,22735592,Forster's Reed-warbler,"",Rattus,Extinct,"","Rats, cats, myna",1,0,No,Acrocephalus musae_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus nijoi,119548740,103780109,Aguijan Reed-warbler,"",Rattus,Extinct,"","Rats, cats",1,0,No,Acrocephalus nijoi_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus rehsei,94427198,22714791,Nauru Reed-warbler,"",Rattus,Vulnerable,D2,Habitat loss,0,0,No,Acrocephalus rehsei_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus rehsei,94427198,22714791,Nauru Reed-warbler,"",Rattus,Vulnerable,D2,Habitat loss,0,0,No,Acrocephalus rehsei_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus rimitarae,171783171,22714826,Rimatara Reed-warbler,Acrocephalus rimatarae,"Rattus exulans, Rattus norvegicus",Critically Endangered,B1ab(v),Unknown,0,0,No,Acrocephalus rimitarae_Rattus exulans,Rattus exulans,Rodent attribution from IUCN.
Acrocephalus rimitarae,171783171,22714826,Rimatara Reed-warbler,Acrocephalus rimatarae,"Rattus exulans, Rattus norvegicus",Critically Endangered,B1ab(v),Unknown,0,0,No,Acrocephalus rimitarae_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Acrocephalus rodericanus,94431545,22714874,Rodrigues Warbler,Bebrornis rodericanus rodericanus,Rattus,Near Threatened,D2,"Rats, habitat loss, cats",1,0,No,Acrocephalus rodericanus_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus rodericanus,94431545,22714874,Rodrigues Warbler,Bebrornis rodericanus rodericanus,Rattus,Near Threatened,D2,"Rats, habitat loss, cats",1,0,No,Acrocephalus rodericanus_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Acrocephalus vaughani,180626682,22714832,Pitcairn Reed-warbler,"",Rattus norvegicus,Endangered,B1ab(iii)+2ab(iii),Unknown,0,0,No,Acrocephalus vaughani_Rattus norvegicus,Rattus norvegicus,Rodent attribution from IUCN.
Aegotheles savesi,129328996,22689559,New Caledonian Owlet-nightjar,"",Rattus,Critically Endangered,C2a(i); D,Unknown,0,0,No,Aegotheles savesi_Rattus rattus,Rattus rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aegotheles savesi,129328996,22689559,New Caledonian Owlet-nightjar,"",Rattus,Critically Endangered,C2a(i); D,Unknown,0,0,No,Aegotheles savesi_Rattus norvegicus,Rattus norvegicus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aegotheles savesi,129328996,22689559,New Caledonian Owlet-nightjar,"",Rattus,Critically Endangered,C2a(i); D,Unknown,0,0,No,Aegotheles savesi_Rattus exulans,Rattus exulans,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.
Aerodramus bartschi,94990600,22728583,Mariana Swiftlet,"Aerodramus bartschi ssp. Bartschi, Collocalia bartschi",Rattus rattus,Endangered,A2e+3e+4e,"Pesticides, brown tree snake",0,0,Yes,Aerodramus bartschi_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Agelaius xanthomus,180529449,22724209,Yellow-shouldered Blackbird,"",Rattus rattus,Endangered,"B2ab(iii,v)",Unknown,0,0,No,Agelaius xanthomus_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Alectroenas payandeei,119206636,62759683,Rodrigues Blue-pigeon,"",Rattus rattus,Extinct,"",Rats,1,1,Yes,Alectroenas payandeei_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
Alexandrinus eques,154065622,22685448,Echo Parakeet,"Psittacula echo, Psittacula eques",Rattus rattus,Vulnerable,D1,Habitat loss,0,0,No,Alexandrinus eques_Rattus rattus,Rattus rattus,Rodent attribution from IUCN.
