OBJECTID,Eradication ID,Common Name,Scientific Name,Type (Animal),Year of Introduction,Data Quality,Eradication Start Date,Eradication End Date,Status (Eradication),Type (Eradication),Primary Eradication Method,Secondary Eradication Method,Tertiary Eradication Method,Primary Baiting Method,Secondary Baiting Method,Primary Toxicant,Secondary Toxicant,Contact Name,Contact Organization,Organization_Website,Island Code,Island Name,Region,Country,Archipelago,Latitude,Longitude,Area (sq km),Human Population
458,618,Black Rat,Rattus rattus,Rodent,1900,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Springer; Keith,Tasmania Parks and Wildlife Service,http://www.parks.tas.gov.au/index.aspx?base=13013,20167,Macquarie,Pacific Ocean - South West,Australia,Macquarie Islands,-54.62839539,158.8643089,129.5628917,11 - 100
524,704,House Mouse,Mus musculus,Rodent,1830,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,Springer; Keith,Tasmania Parks and Wildlife Service,http://www.parks.tas.gov.au/index.aspx?base=13013,20167,Macquarie,Pacific Ocean - South West,Australia,Macquarie Islands,-54.62839539,158.8643089,129.5628917,11 - 100
1143,1834,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2011,2015,Successful,Restricted Range,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,null,null,null,389876,South Georgia,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,South Georgia Islands,-54.37892661,-36.6802295,3502.330946,11 - 100
1430,2308,House Mouse,Mus musculus,Rodent,null,Good,2011,2015,Successful,Restricted Range,Toxicant,NA,NA,Aerial Broadcast,Hand Broadcast,Brodifacoum,NA,null,null,null,389876,South Georgia,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,South Georgia Islands,-54.37892661,-36.6802295,3502.330946,11 - 100
1601,2831,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2014,2014,Successful,Incursion Response,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,null,null,null,389876,South Georgia,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,South Georgia Islands,-54.37892661,-36.6802295,3502.330946,11 - 100
906,1172,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2000,2000,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,Unknown,Unknown,Unknown,77777322,Grass,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,South Georgia Islands (Stromness Bay),-54.1587183,-36.66693401,0.256450902,None
1151,1846,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2010,2015,Successful,Whole Island,Toxicant,Toxicant,NA,Aerial Broadcast,NA,Brodifacoum,NA,null,null,null,395269,Saddle,Atlantic Ocean - South,South Georgia and the South Sandwich Islands,South Georgia Islands,-54.13969217,-37.74918485,1.031319752,None
320,415,Brown / Norway Rat,Rattus norvegicus,Rodent,1810,Good,2001,2001,Successful,Whole Island,Toxicant,NA,NA,Aerial Broadcast,NA,Brodifacoum,NA,McClelland; Pete,NZ Dept. of Conservation,null,459032,Campbell,Pacific Ocean - South West,New Zealand,Campbell Islands,-52.54380497,169.1670251,116.3458594,11 - 100
1002,1271,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,Poncet; S.,Falklands Conservation,null,388872,Lion Creek Outer,Atlantic Ocean - South,Falkland Islands (Malvinas),Falkland Islands (Eagle Passage),-52.285471,-59.50527962,0.127457847,None
994,1263,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2011,2011,Successful,Whole Island,Toxicant,NA,NA,Bait Station,NA,Brodifacoum,NA,Poncet; S.,Falklands Conservation,null,388988,Flores Harbour,Atlantic Ocean - South,Falkland Islands (Malvinas),Falkland Islands (Eagle Passage),-52.22837058,-59.5911832,0.276616301,None
1446,2325,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2012,2012,Successful,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,Poncet; S.,Falklands Conservation,null,389093,Third,Atlantic Ocean - South,Falkland Islands (Malvinas),Falkland Islands (Bleaker Island Group),-52.20368325,-58.87648124,0.040751169,None
1441,2320,Brown / Norway Rat,Rattus norvegicus,Rodent,null,Good,2012,2012,To Be Confirmed,Whole Island,Toxicant,NA,NA,Hand Broadcast,NA,Brodifacoum,NA,Poncet; S.,Falklands Conservation,null,388799,Ghost,Atlantic Ocean - South,Falkland Islands (Malvinas),Falkland Islands (Bleaker Island Group),-52.1898344,-58.83078911,0.045465441,None
