assessmentId,internalTaxonId,scientificName,Common_name,Synonyms_or_previous_lump,Rodent_attributed_IUCN,redlistCategory,Deforestation_logging,Development,Mining,Farming_and_other_habitat_loss,Human_presence,Human_hunting_harvesting,Human_foraging,Domestic_grazing,Ending_domestic_grazing,Fire_burning,Garbage_plastic,Artificial_light,Collision,Fishing_bycatch_collision,Fishing_prey_loss,Toxins_pesticides_pollution_oil_spills_radioactive_exposure_heavy_metals,Pollinator_loss,Tree_dieback,Global_warming,Landslides,Volcano,Flood,Ocean_swell_tsunami,Prey_base_currents_temp_weather,Weather_extreme_unfavourable_sea_temp_cyclone,Pig_introduced,Cat_introduced,Mongoose_introduced,Opposum_introduced,Coati_introduced,Civets_introduced,Ferret_introduced,Raccoon_introduced,Mink_introduced,Foxes_introduced,Gennet_introduced,Stoat_introduced,Weasel_introduced,Mustelid_family_introduced,Hedgehog_introduced,Barbary_ground_squirrels_introduced,Dog_domestic,Barn_owl_introduced,Brown_tree_snake_introduced,Monitor_lizard_introduced,Crab_eating_macaques_introduced,Green_monkey_introduced,Mona_Monkey_introduced,Cattle_introduced,Mouflon_introduced,Rabbits_introduced,Donkey_horse_introduced,Sheep_introduced,Guinea_pigs_introduced,Goats_introduced,Horses_introduced,Herbivores_introduced_other_or_unspecified,Brushtail_possum_introduced,Deer_introduced,Egret_introduced,Plants_introduced,Fish_introduced,Insects_invertebrates_introduced,Reptile_introduced,Hybridization,Bird_other_introduced,Myna_introduced,Seal_native_habitat_effects,Tortoise_native,Insects_native,Reptile_native,Competition_native_mammal,Predation_native_mammal,Competition_native_bird,Predation_native_bird,Disease,Algal_bloom,Parasites,Primary_causes,Rodent_primary,Rodent_only_primary
92795779,22678955,Coturnix novaezelandiae,New Zealand Quail,,Rattus,Extinct,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Disease,0,0
92854679,22680306,Anas eatoni,Southern Pintail,,Rattus norvegicus,Vulnerable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rats, cats",1,0
92864737,22680496,Mergus australis,New Zealand Merganser,,Rattus,Extinct,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hunting,0,0
93016420,22684143,Coua delalandei,Snail-eating Coua,,Rattus,Extinct,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Habitat loss,0,0
93038207,22684630,Vini kuhlii,Rimatara Lorikeet,,Rattus rattus,Endangered,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Habitat loss, hunting",0,0
93062058,22685185,Eunymphicus cornutus,Horned Parakeet,,Rattus rattus,Vulnerable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Habitat loss,0,0
93265793,22690218,Columba versicolor,Bonin Woodpigeon,,Rattus,Extinct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Habitat loss,0,0
93300863,22691042,Pampusana stairi,Shy Ground-dove,"Alopecoenas stairi, Gallicolumba stairi",Rattus exulans,Vulnerable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Habitat loss,0,0
93301654,22691056,Pampusana salamonis,Thick-billed Ground-dove,"Alopecoenas salamonis, Gallicolumba salamonis",Rattus,Extinct,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rats, cats, dogs, pigs",1,0
93313817,22691480,Ptilinopus coralensis,Atoll Fruit-dove,,Rattus rattus,Near Threatened,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rats, hunting, habitat loss",1,0
93314660,22691495,Ptilinopus mercierii,Red-moustached Fruit-dove,,Rattus,Extinct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rats, cats, owls",1,0
93320826,22691674,Ducula galeata,Nukuhiva Imperial-pigeon,,Rattus,Endangered,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hunting,0,0
93322157,22691710,Ducula pickeringii,Grey Imperial-pigeon,,Rattus rattus,Vulnerable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Habitat loss,0,0
93351848,22692388,Gallirallus lafresnayanus,New Caledonian Rail,Tricholimnas lafresnayanus ssp. Lafresnayanus,Rattus,Critically Endangered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cats, pigs, rats",1,0
93354380,22692450,Hypotaenidia pacifica,Tahiti Rail,Gallirallus pacificus,Rattus,Extinct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cats, rats",1,0
93354540,22692455,Hypotaenidia dieffenbachii,Dieffenbach's Rail,Gallirallus dieffenbachii,Rattus,Extinct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cats, rats, dogs",1,0
93363618,22692672,Zapornia palmeri,Laysan Rail,Porzana palmeri,Rattus,Extinct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rats, rabbits, guinea pigs, extreme weather",1,0
93364994,22692693,Zapornia sandwichensis,Hawaiian Rail,Porzana sandwichensis,Rattus,Extinct,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cats,0,0
93366211,22692708,Zapornia monasa,Kosrae Crake,Porzana monasa,Rattus,Extinct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rats,1,1
