Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Acrocephalus aequinoctialis,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Shrubland,Generalist,25,Extant,,Acrocephalus aequinoctialis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,460,4.4,0,0,0,0,0,1,1,Islands,2,0,0,0,1,0,0,0,0,0,Landbirds
Acrocephalus brevipennis,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Shrubland,Insessorial,16,Extant,,Acrocephalus brevipennis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,3,0,0,0,1,1,0,0,0,0,Landbirds
Acrocephalus caffer,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest,Insessorial,43.8,Extant,,Acrocephalus caffer,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,420,4.4,0,0,0,0,0,1,0,Islands,1,0,0,0,0,1,0,0,0,0,Landbirds
Acrocephalus hiwae,Acrocephalus,Acrocephalidae,Passeriformes,Wetland,Terrestrial,35.6,Extant,,Acrocephalus hiwae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2500,5.7,0,0,0,0,0,1,0,,,0,0,0,1,1,0,0,0,0,Landbirds
Acrocephalus kerearako,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest,Insessorial,22.5,Extant,,Acrocephalus kerearako,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1600,4.4,0,0,0,0,0,1,1,,,0,0,0,1,1,0,0,0,0,Landbirds
Acrocephalus longirostris,Acrocephalus,Acrocephalidae,Passeriformes,Forest,Insessorial,43.8,Extant,,Acrocephalus longirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Acrocephalus musae,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest; Shrubland; Wetland; Woodland,Generalist; Insessorial; Terrestrial,20.0638738738739,Extinct,Genus average,Acrocephalus musae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Acrocephalus nijoi,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest; Shrubland; Wetland; Woodland,Generalist; Insessorial; Terrestrial,20.0638738738739,Extinct,Genus average,Acrocephalus nijoi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Acrocephalus rehsei,Acrocephalus,Acrocephalidae; Sylviidae,Passeriformes,Forest,Insessorial,20.0733333333333,Extant,,Acrocephalus rehsei,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,18,4.4,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Acrocephalus rimitarae,Acrocephalus,Acrocephalidae,Passeriformes,Wetland,Insessorial,26.5,Extant,,Acrocephalus rimitarae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
