scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Coturnix novaezelandiae,"Worthy, T.H. and Holdaway, R.N., 1996. Quaternary fossil faunas, overlapping taphonomies, and palaeofaunal reconstruction in North Canterbury, South Island, New Zealand. Journal of the Royal Society of New Zealand, 26(3), pp.275-361.","",Population,Abundance,Timing,Rattus exulans,,,"","",0,,0,,"",,,"North Canterbury, South Island, New Zealand",-43.7542,171.1637,"""""The marked increase in abundance of these birds after the arrival of kiore reflects the increased presence of shrublands in the area following human arrival and anthropogenic burning.""""",1,Rattus exulans,,Coturnix novaezelandiae_Rattus exulans
Eunymphicus cornutus,"Gula, R., Theuerkauf, J., Rouys, S. and Legault, A., 2010. An audio/video surveillance system for wildlife. European Journal of Wildlife Research, 56, pp.803-807.","",Predation,Predation,Predation,Rattus rattus,,,Unknown,"",1,,0,,"",,,New Caledonia,-20.9043,165.618,"A single predation event of parakeet by black rat recorded. Not stated whether the predation was of egg, chick or adult.",3,Rattus rattus,,Eunymphicus cornutus_Rattus rattus
Ducula galeata,"Villard, P., De Visscher, M.N. and Balança, G., 2003. Population size, habitats and conservation of Marquesan Imperial Pigeon Ducula galeata. Bird Conservation International, 13(3), pp.189-197.","",Population,Reproductive success,Spatial,Rattus rattus,,,"","",0,,0,,"",,,Nuku Hiva,-8.8605,140.1421,"""""Introduced black rats Rattus rattus do not seem to be a threat for this bird"""" """"The significant proportion of young pigeons observed during this study suggests that rats do not significantly jeopardize their breeding success"""" """"Black rats Rattus rattus were present everywhere that Upe were found in our study and we even trapped them at the foot of several trees with an occupied nest.""""",4,Rattus rattus,,Ducula galeata_Rattus rattus
Falco punctatus,"Cade, T.J. and Jones, C.G., 1993. Progress in restoration of the Mauritius kestrel. Conservation biology, 7(1), pp.169-175.","",Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks","",1,,0,,"",,,Mauritius,-20.3484,57.5522,Mentions that rats are among predators of eggs and nestlings although mongooses seem more common predator,6,Rattus rattus,,Falco punctatus_Rattus rattus
Cinclodes antarcticus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2016. The ghost of invasives past: rat eradication and the community composition and energy flow of island bird communities. Ecosphere, 7(8), p.e01442.","",Population,Abundance,Spatiotemporal,Rattus norvegicus,,1,"","",1,,1,1,"35, 57, 67 islands",0,1,Falkland Islands,-51.7963,-59.5236,"Islands without rats have the most cinclodes, then islands where rats were eradicated and lastly islands with rats. Sample size of islands is high (35-67 per category) AND positive correlation between time since eradication and cinclodes abundance.",8,Rattus norvegicus,,Cinclodes antarcticus_Rattus norvegicus
Cinclodes antarcticus,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2015. Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands. Journal of Animal Ecology, 84(3), pp.755-764.","Tabak, M.A., Poncet, S., Passfield, K. and Martinez del Rio, C., 2014. Invasive species and land bird diversity on remote South Atlantic islands. Biological Invasions, 16, pp.341-352.",Population,Abundance,Spatial,Rattus norvegicus,,1,"","",1,,1,1,"37, 85, 108 islands",1,1,Falkland Islands,-51.7963,-59.5236,Probability of occupancy positively associated with island size mostly where rats were absent or eradicated but weak relationship where rats were present. This pattern was not consistent with other passerines studied,9,Rattus norvegicus,,Cinclodes antarcticus_Rattus norvegicus
Apalopteron familiare,BirdLife International. 2016. Apalopteron familiare. The IUCN Red List of Threatened Species 2016: e.T22704125A93953867. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704125A93953867.en. Accessed on 10 November 2023.,"",Predation,Predation,Predation,Rattus rattus,,,Unknown,"",1,,0,,"",,,Hahajima,26.6735,142.1541,"Nest predation by introduced black rats may be a threat on Hahajima (Kawakami in litt. 2012), but rats do not currently seem to be affecting the population.",10,Rattus rattus,,Apalopteron familiare_Rattus rattus
Apalopteron familiare,BirdLife International. 2016. Apalopteron familiare. The IUCN Red List of Threatened Species 2016: e.T22704125A93953867. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704125A93953867.en. Accessed on 10 November 2023.,"",Population,Abundance,Temporal,Rattus rattus,,,"","",0,,0,,"",,,Hahajima,26.6735,142.1541,"Nest predation by introduced black rats may be a threat on Hahajima (Kawakami in litt. 2012), but rats do not currently seem to be affecting the population.",11,Rattus rattus,,Apalopteron familiare_Rattus rattus
Dicrurus aldabranus,BirdLife International. 2016. Dicrurus aldabranus. The IUCN Red List of Threatened Species 2016: e.T22706943A94098323. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22706943A94098323.en. Accessed on 10 November 2023.,"",Predation,Predation,Predation,Rattus rattus,,,Eggs,"",1,,0,,"",,,Aldabra,-9.4237,46.3433,"""""Up to 8/10 studied nests are predated at the egg stage, mainly by crows Corvus spp., rats, coucals and bulbuls (Pycnonotidae), as observed or suggested by nest monitoring (SIF unpublished data)""""",14,Rattus,"Authors reported rodent as 'Rattus'. Based on REF, this must have been Rattus rattus",Dicrurus aldabranus_Rattus rattus
Aplonis fusca,BirdLife International. 2016. Aplonis fusca. The IUCN Red List of Threatened Species 2016: e.T22710511A94249210. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710511A94249210.en. Accessed on 10 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Lord Howe Island,-31.5553,159.0821,"""""The extinction of the Lord Howe Island population was probably due to the arrival of black rat Rattus rattus on the island in 1918""""",15,Rattus rattus,,Aplonis fusca_Rattus rattus
Aplonis fusca,BirdLife International. 2016. Aplonis fusca. The IUCN Red List of Threatened Species 2016: e.T22710511A94249210. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710511A94249210.en. Accessed on 10 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Norfolk Island,-29.0408,167.9547,"""""The last record was of the nominate subspecies on Norfolk Island in 1923"""" """"The reasons for the extinction of the Norfolk Island population are less clear cut because R. rattus did not reach the island until the 1940s.""""",16,Rattus rattus,,Aplonis fusca_Rattus rattus
Zosterops strenuus,BirdLife International. 2016. Zosterops strenuus. The IUCN Red List of Threatened Species 2016: e.T22714223A94406811. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22714223A94406811.en. Accessed on 11 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Lord Howe Island,-31.5553,159.0821,"""""It was very common before 1918 (McAllan et al. 2004), with the last records coming from 1908 (Hull 1909), but it plummeted to extinction following the arrival of black rats Rattus rattus on the island (Hindwood 1940). It could not be found in 1928 (Sharland 1929).""""",17,Rattus rattus,,Zosterops strenuus_Rattus rattus
Foudia rubra,"Safford, R.J., 1997. Nesting success of the Mauritius Fody Foudia rubra in relation to its use of exotic trees as nest sites. Ibis, 139(3), pp.555-559.","Safford, R.J., 1997. The destruction of source and sink habitats in the decline of the Mauritius Fody, Foudia rubra, an island-endemic bird. Biodiversity & Conservation, 6, pp.513-527.",Predation,Predation,Predation,Rattus rattus,,,Unknown,"",1,,0,,"",,,Mauritius,-20.3484,57.5522,"""""Most nesting failure resulted from nest predation, apparently by exotic Black Rats Rattus rattus and Crab-eating Macaques""""",18,Rattus rattus,,Foudia rubra_Rattus rattus
Foudia flavicans,BirdLife International. 2016. Foudia flavicans. The IUCN Red List of Threatened Species 2016: e.T22719159A94614670. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22719159A94614670.en. Accessed on 11 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Rodrigues,-19.7245,63.4272,"""""Black rat Rattus rattus is a predator of eggs and chicks, but F. flavicans has survived alongside it for hundreds of years.""""",19,Rattus rattus,,Foudia flavicans_Rattus rattus
Foudia flavicans,BirdLife International. 2016. Foudia flavicans. The IUCN Red List of Threatened Species 2016: e.T22719159A94614670. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22719159A94614670.en. Accessed on 11 November 2023.,"",Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks","",1,,0,,"",,,Rodrigues,-19.7245,63.4272,"""""Black rat Rattus rattus is a predator of eggs and chicks, but F. flavicans has survived alongside it for hundreds of years.""""",20,Rattus rattus,,Foudia flavicans_Rattus rattus
Loxioides bailleui,"Banko, P.C., Oboyski, P.T., Slotterback, J.W., Dougill, S.J., Goltz, D.M., Johnson, L., Laut, M.E. and Murray, T.C., 2002. Availability of food resources, distribution of invasive species, and conservation of a Hawaiian bird along a gradient of elevation. Journal of Biogeography, 29(5‐6), pp.789-808.","Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].",Population,Abundance,Temporal,Rattus rattus,,,"","",0,,0,,"",,,Mauna Kea Volcano,-19.4721,-155.5922,"""""Rattus is rare in Loxioides habitat""""",21,Rattus rattus,,Loxioides bailleui_Rattus rattus
Loxioides bailleui,"Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].","VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Predation,Predation,Predation,Rattus rattus,,,Unknown,"",1,,0,,"",,,Mauna Kea Volcano,-19.4721,-155.5922,"""""Rats (Rattus rattus), which are more abundant where naio trees are co-dominant with māmane (Amarasekare 1994), also destroy some palila nests (Banko et al. 2002a).""""",22,Rattus rattus,,Loxioides bailleui_Rattus rattus
