scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Island_name,Archipelago,Region,Country,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Acrocephalus caffer,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.",NA,Population,Abundance,Timing,Rattus rattus,,1,NA,NA,0,,1,1,9 islands,1,0,Eastern Polynesia,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"""There was no significant effect in the GLM analysis of any of the introduced species on the distribution and abundance of Polynesian warblers.""",3,"Rattus rattus, Rattus exulans",,Acrocephalus caffer_Rattus rattus
Acrocephalus caffer,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.",NA,Population,Abundance,Timing,Rattus exulans,,1,NA,NA,0,,1,1,9 islands,1,0,Eastern Polynesia,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"""There was no significant effect in the GLM analysis of any of the introduced species on the distribution and abundance of Polynesian warblers.""",3,"Rattus rattus, Rattus exulans",,Acrocephalus caffer_Rattus exulans
Alectroenas payandeei,BirdLife International. 2017. Alectroenas payandeei (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T62759683A119206636. https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T62759683A119206636.en. Accessed on 28 November 2023.,NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Rodrigues,-19.724499999999999,63.427199999999999,rodrigues,Rodrigues,Indian Ocean - West,Mauritius,"""The island was used as a refurbishment station for shipping from at least 1601, presumably leading to the arrival of rats, which were noted to be present in large numbers in 1691-1693 (Leguat 1708, in Hume and Walters 2012) and likely drove the species to extinction.""",18,Rattus rattus,,Alectroenas payandeei_Rattus rattus
Amazona vittata,"Engeman, R., Whisson, D., Quinn, J., Cano, F., Quiñones, P. and White Jr, T.H., 2006. Monitoring invasive mammalian predator populations sharing habitat with the critically endangered Puerto Rican parrot Amazona vittata. Oryx, 40(1), pp.95-102.",NA,Predation,Predation,Predation,Rattus rattus,,,Unknown,NA,1,,0,NA,NA,NA,NA,Caribbean National Forest,18.295100000000001,-65.8,puerto rico,Greater Antilles (Puerto Rican Islands),Caribbean,Puerto Rico,"""Since 2000 there have been 3–5 active nests, with fledg- ling production ranging from two to eight (Table 2). Rats and mongooses have each been implicated in losses of young, with annual losses to mongooses of up to 50% of wild-produced fledglings, and an undetermined number of rat-induced nest, egg or chick failures (Table 2)."" ""Rat predation was indicated in 2002 at one nesting cavity""",24,Rattus rattus,,Amazona vittata_Rattus rattus
Apalopteron familiare,BirdLife International. 2016. Apalopteron familiare. The IUCN Red List of Threatened Species 2016: e.T22704125A93953867. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704125A93953867.en. Accessed on 10 November 2023.,NA,Predation,Predation,Predation,Rattus rattus,,,Unknown,NA,1,,0,NA,NA,NA,NA,Hahajima,26.673500000000001,142.1541,hahajima,Ogasawara Islands (Hahajima Group),Pacific Ocean - North West,Japan,"Nest predation by introduced black rats may be a threat on Hahajima (Kawakami in litt. 2012), but rats do not currently seem to be affecting the population.",32,Rattus rattus,,Apalopteron familiare_Rattus rattus
Apalopteron familiare,BirdLife International. 2016. Apalopteron familiare. The IUCN Red List of Threatened Species 2016: e.T22704125A93953867. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704125A93953867.en. Accessed on 10 November 2023.,NA,Population,Abundance,Temporal,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Hahajima,26.673500000000001,142.1541,hahajima,Ogasawara Islands (Hahajima Group),Pacific Ocean - North West,Japan,"Nest predation by introduced black rats may be a threat on Hahajima (Kawakami in litt. 2012), but rats do not currently seem to be affecting the population.",33,Rattus rattus,,Apalopteron familiare_Rattus rattus
Aplonis fusca,BirdLife International. 2016. Aplonis fusca. The IUCN Red List of Threatened Species 2016: e.T22710511A94249210. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710511A94249210.en. Accessed on 10 November 2023.,NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Lord Howe Island,-31.555299999999999,159.0821,lord howe,Lord Howe Islands,Pacific Ocean - South West,Australia,"""The extinction of the Lord Howe Island population was probably due to the arrival of black rat Rattus rattus on the island in 1918""",37,Rattus rattus,,Aplonis fusca_Rattus rattus
Aplonis fusca,BirdLife International. 2016. Aplonis fusca. The IUCN Red List of Threatened Species 2016: e.T22710511A94249210. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710511A94249210.en. Accessed on 10 November 2023.,NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Norfolk Island,-29.040800000000001,167.9547,norfolk,Norfolk Islands,Pacific Ocean - South West,Australia,"""The last record was of the nominate subspecies on Norfolk Island in 1923"" ""The reasons for the extinction of the Norfolk Island population are less clear cut because R. rattus did not reach the island until the 1940s.""",38,Rattus rattus,,Aplonis fusca_Rattus rattus
Aplonis ulietensis,BirdLife International. 2017. Aplonis ulietensis (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T22734867A119212332. https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T22734867A119212332.en. Accessed on 28 November 2023.,NA,Population,Abundance,Timing,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Raiatea,-16.816400000000002,-151.45519999999999,raiatea,Society Islands,Pacific Ocean - South East,French Polynesia,"""This Extinct species is known only from a 1774 painting of the type specimen, contemporary descriptions and a few field notes. It occurred on Raiatea (French Polynesia). An expedition to the island in 1850 failed to find the species, and it likely became extinct between 1774-1850 following the arrival of rats on the island.""",42,Rattus norvegicus,,Aplonis ulietensis_Rattus norvegicus
Ardenna carneipes,"Gaze, P., 2000. The response of a colony of sooty shearwater (Puffinus griseus) and flesh‐footed shearwater (P. carneipes) to the cessation of harvesting and the eradication of Norway rats (Rattus norvegicus). New Zealand Journal of Zoology, 27(4), pp.375-379.",NA,Population,Abundance,Timing,Rattus norvegicus,,,NA,NA,0,,0,NA,NA,NA,NA,Titi Island,-38.720199999999998,77.518900000000002,saint-paul,Amsterdam and St. Paul Islands,Indian Ocean - West,French Southern Territories,"""The apparent decline of this breeding colony prompted the cessation of harvesting in 1960 and the eradication of Norway rats during the 1970s. An increase in the colony was expected, and there have been attempts to measure this by counting the number of active burrows...from 1987 to 1998. No change was detected over this period."" ""The number of active shearwater burrows in each plot were counted (Table 1). Regression analysis indicated no significant trend in the number of active burrows over this period (R = 0.28, F = 2.33, DF =l,P=0.17).""",45,Rattus norvegicus,,Ardenna carneipes_Rattus norvegicus
