scientificName,Common_name,Original_rodent_attributed_IUCN,Rodent_attribution_source,Reported_study_rodent,Study_notes,Article_secondary_same_data,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_final,Study_rodent_final,Rodent_primary,Rodent_only_primary,Article,Study_ID,Evidence_category,Evidence_effect,Evidence_method,Predation_type,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Sample_size_greater_than_1,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Order,Mass,Bird_Type_Coarse,Nest_Site_Cat
Acrocephalus aequinoctialis,Kiritimati Reed-warbler,"Rattus, Rattus rattus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Endangered,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,25,Landbirds,Vegetation
Acrocephalus aequinoctialis,Kiritimati Reed-warbler,"Rattus, Rattus rattus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Endangered,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,25,Landbirds,Vegetation
Acrocephalus brevipennis,Cape Verde Swamp-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,16,Landbirds,Vegetation
Acrocephalus brevipennis,Cape Verde Swamp-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,16,Landbirds,Vegetation
Acrocephalus caffer,Tahiti Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,"Rattus rattus, Rattus exulans","""""""""There was no significant effect in the GLM analysis of any of the introduced species on the distribution and abundance of Polynesian warblers.""""""""","",Vulnerable,"",Rattus exulans,Rattus exulans,0,0,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.",188,Population,Abundance,Timing,"",0,,1,1,1,9 islands,1,0,Eastern Polynesia,-10.4905,-138.6489,Passeriformes,43.8,Landbirds,Vegetation
Acrocephalus caffer,Tahiti Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,43.8,Landbirds,Vegetation
Acrocephalus caffer,Tahiti Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,"Rattus rattus, Rattus exulans","""""""""There was no significant effect in the GLM analysis of any of the introduced species on the distribution and abundance of Polynesian warblers.""""""""","",Vulnerable,"",Rattus rattus,Rattus rattus,0,0,"Thibault, J.C., Martin, J.L., Penloup, A. and Meyer, J.Y., 2002. Understanding the decline and extinction of monarchs (Aves) in Polynesian Islands. Biological conservation, 108(2), pp.161-174.",188,Population,Abundance,Timing,"",0,,1,1,1,9 islands,1,0,Eastern Polynesia,-10.4905,-138.6489,Passeriformes,43.8,Landbirds,Vegetation
Acrocephalus hiwae,Saipan Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,35.6,Landbirds,Vegetation
Acrocephalus kerearako,Cook Islands Reed-warbler,"Rattus exulans, Rattus rattus",Rodent attribution from IUCN.,,,,Near Threatened,"",Rattus exulans,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,22.5,Landbirds,Vegetation
Acrocephalus kerearako,Cook Islands Reed-warbler,"Rattus exulans, Rattus rattus",Rodent attribution from IUCN.,,,,Near Threatened,"",Rattus rattus,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,22.5,Landbirds,Vegetation
Acrocephalus longirostris,Moorea Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,43.8,Landbirds,
Acrocephalus longirostris,Moorea Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,43.8,Landbirds,
Acrocephalus longirostris,Moorea Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,43.8,Landbirds,
Acrocephalus musae,Forster's Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus exulans,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,20.0638738738739,Landbirds,
Acrocephalus musae,Forster's Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus norvegicus,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,20.0638738738739,Landbirds,
Acrocephalus musae,Forster's Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus rattus,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,20.0638738738739,Landbirds,
Acrocephalus nijoi,Aguijan Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus exulans,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,20.0638738738739,Landbirds,
Acrocephalus rehsei,Nauru Reed-warbler,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"",Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,20.0733333333333,Landbirds,Vegetation
