assessmentId,internalTaxonId,Study_ID,scientificName,Common_name,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_IUCN,Article,Article_secondary_same_data,Study_type,Study_data_type_useable,Study_rodent,Study_rodent_species_Rattus_genus,Study_location,Latitude,Longitude,Description,Year,Site,Predator_mean,Predator_error,Predator_error_type,Predator_HPD_Credible_Intervals_Lower_95,Predator_HPD_Credible_Intervals_Upper_95,Predator_sample_size,Predator_units,Predator_comment,Prey_mean,Prey_error,Prey_error_type,Prey_sample_size,Prey_units,Abundance_reproduction,Hypothesis_supported_when,Prey_comment,Sample_size_overall,Sample_type,Sampling_quote,Source,Data_notes,Effect_type
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2005,Ekahanui,0.083,,,,,,Rats/trap/visit,,16.883,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2006,Ekahanui,0.088,,,,,,Rats/trap/visit,,22.684,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2007,Ekahanui,0.114,,,,,,Rats/trap/visit,,19.246,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2008,Ekahanui,0.048,,,,,,Rats/trap/visit,,16.791,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2009,Ekahanui,0.048,,,,,,Rats/trap/visit,,39.014,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2007,Palehua,0.213,,,,,,Rats/trap/visit,,9.669,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2008,Palehua,0.116,,,,,,Rats/trap/visit,,10.774,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2009,Palehua,0.045,,,,,,Rats/trap/visit,,14.826,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2006,Moanalua,0.126,,,,,,Rats/trap/visit,,23.912,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
95133622,22736423,study_7,Chasiempis ibidis,Oahu Elepaio,Endangered,Chasiempis sandwichensis,Rattus rattus,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",N/A,Spatiotemporal,,Rattus rattus,,O’ahu,21.4389,-158.0001,Rat abundance vs bird abundance (breeding pairs) over time and across sites,2007,Moanalua,0.131,,,,,,Rats/trap/visit,,30.911,,,,Number of breeding pairs,Abundance,Negative,,,,,"Figure 3,7",,Correlation
